index,Churn,Prediction,Probability,Monthlycharges Imp,Totalcharges Imp,Tenure Imp,Internetservice Fiber Optic Imp,Longtermcustomer Yes Imp,top_features,Monthlycharges,Totalcharges,Tenure,Internetservice Fiber Optic,Longtermcustomer Yes
0,0,1.0,0.38,-0.2883948,0.07252359400000001,0.44416769999999994,-0.33105674,0.8289890999999999,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,29.85,29.85,1,0,0
1,0,0.0,0.01,-0.49510837,-0.41120678,-0.3249546,-0.15705206,-1.6756752000000001,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,56.95,1889.5,34,0,1
2,1,1.0,0.58,-0.090971194,0.5259951999999999,0.5339311999999999,-0.32011259999999997,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight>,53.85,108.15,2,0,0
3,0,0.0,0.04,0.37950432,-0.27941403,-0.18497850000000002,-0.11625605,-1.6756752000000001,<neg_highlight>Longtermcustomer Yes</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,42.3,1840.75,45,0,1
4,1,1.0,0.81,0.42112267,0.26794124,0.59107554,0.36061957,1.0427232,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,70.7,151.65,2,1,0
5,1,1.0,0.78,0.6823385999999999,0.31634614,0.09236264,0.38231403,1.0013261,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Tenure</pos_highlight>,99.65,820.5,8,1,0
6,0,0.0,0.15,-0.98677367,-0.08052938,-0.45639250000000003,0.22158109,0.7886955,<neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Totalcharges</neg_highlight>,89.1,1949.4,22,1,0
7,0,0.0,0.25,-0.29587197,0.017876735,0.045569733,-0.38807437,0.7521866999999999,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,29.75,301.9,10,0,0
8,1,1.0,0.57,1.1771198999999999,-0.37646338,-0.31530347,0.19570215,0.79884094,<pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,104.8,3046.05,28,1,0
9,0,0.0,0.02,-0.52938896,-0.8351751000000001,0.11599471,-0.13507839,-1.4068402,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight>,56.15,3487.95,62,0,1
10,0,0.0,0.2,-0.45540825,0.16299863,-0.3008,-0.32849646,0.721853,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,49.95,587.45,13,0,0
11,0,0.0,0.12,0.33336598,-0.057047285,-0.06210496,-0.13034475,-0.8727940000000001,<neg_highlight>Longtermcustomer Yes</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,18.95,326.8,16,0,1
12,0,0.0,0.04,0.22540386,-0.45816174,-0.077878274,0.1189853,-1.8730881999999998,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Tenure</neg_highlight>,100.35,5681.1,58,1,1
13,1,1.0,0.62,0.60769576,0.49450997,-0.34295574,0.19570215,0.75985366,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,103.7,5036.3,49,1,0
14,0,0.0,0.38,0.81032044,-0.7856922,-0.31530347,0.19570215,0.79884094,<pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,105.5,2686.05,25,1,0
15,0,0.0,0.04,-0.89613503,0.0651612,0.42266739999999997,0.1189853,-1.5812386,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,113.25,7895.15,69,1,1
16,0,0.0,0.02,-1.0077959,-0.04367171,-0.11929633,-0.13034475,-1.4229441999999999,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,20.65,1022.95,52,0,1
17,0,0.0,0.05,0.97222865,0.042127784,-0.8774562,0.1189853,-1.9559342,<neg_highlight>Longtermcustomer Yes</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,106.7,7382.25,71,1,1
18,1,0.0,0.28,-0.32328114,0.22387202,-0.012600076000000002,-0.40373287,0.7936641999999999,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Tenure</neg_highlight>,55.2,528.35,10,0,0
19,0,0.0,0.15,-0.98677367,-0.08052938,-0.45639250000000003,0.22158109,0.7886955,<neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Totalcharges</neg_highlight>,90.05,1862.9,21,1,0
