quality,Prediction,index,Alcohol Imp,Chlorides Imp,Citric Acid Imp,Density Imp,Fixed Acidity Imp,Free Sulfur Dioxide Imp,Ph Imp,Residual Sugar Imp,Sulphates Imp,Total Sulfur Dioxide Imp,Volatile Acidity Imp,top_features,Alcohol,Chlorides,Citric Acid,Density,Fixed Acidity,Free Sulfur Dioxide,Ph,Residual Sugar,Sulphates,Total Sulfur Dioxide,Volatile Acidity
6,5.46,0,-0.30338597,-0.0111691,0.05618266,-0.007897129000000001,0.008672271,0.052395474000000004,-0.011378873000000001,-0.060549423,-0.013705719,-0.013720158,-0.11736906,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight>,8.8,0.045,0.36,1.001,7.0,45.0,3.0,20.7,0.45,170.0,0.27
6,5.37,1,-0.3183758,-0.045687772,0.05807315,-0.019200424,0.02401444,-0.123953745,0.06094702,-0.04985136,0.008371001999999999,0.02412003,-0.12476029,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight>,9.5,0.049,0.34,0.9940000000000001,6.3,14.0,3.3,1.6,0.49,132.0,0.3
6,5.59,2,-0.2630588,-0.08422007,0.030900834,-0.015146716999999999,-0.034625883999999996,0.07852683,0.043197803,0.03841439,-0.02677845,0.030650055,-0.08831721,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Residual Sugar</pos_highlight>,10.1,0.05,0.4,0.9951,8.1,30.0,3.26,6.9,0.44,97.0,0.28
6,5.68,3,-0.22659928,-0.07451825599999999,0.07485507,-0.027327999999999998,0.017684078,0.067574695,-0.01758217,0.014092928999999999,-0.016243681,-0.08219495,0.07408187,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight>,9.9,0.057999999999999996,0.32,0.9956,7.2,47.0,3.19,8.5,0.4,186.0,0.23
6,5.68,4,-0.22659928,-0.07451825599999999,0.07485507,-0.027327999999999998,0.017684078,0.067574695,-0.01758217,0.014092928999999999,-0.016243681,-0.08219495,0.07408187,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight>,9.9,0.057999999999999996,0.32,0.9956,7.2,47.0,3.19,8.5,0.4,186.0,0.23
6,5.59,5,-0.2630588,-0.08422007,0.030900834,-0.015146716999999999,-0.034625883999999996,0.07852683,0.043197803,0.03841439,-0.02677845,0.030650055,-0.08831721,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Residual Sugar</pos_highlight>,10.1,0.05,0.4,0.9951,8.1,30.0,3.26,6.9,0.44,97.0,0.28
6,5.31,6,-0.3583473,-0.005608435300000001,-0.12823325,-0.014618376,0.018027968999999998,0.069112465,-0.025748612,0.022019992000000002,-0.023786973,0.030175077,-0.15318932,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight>,9.6,0.045,0.16,0.9949,6.2,30.0,3.18,7.0,0.47,136.0,0.32
6,5.46,7,-0.30338597,-0.0111691,0.05618266,-0.007897129000000001,0.008672271,0.052395474000000004,-0.011378873000000001,-0.060549423,-0.013705719,-0.013720158,-0.11736906,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight>,8.8,0.045,0.36,1.001,7.0,45.0,3.0,20.7,0.45,170.0,0.27
6,5.37,8,-0.3183758,-0.045687772,0.05807315,-0.019200424,0.02401444,-0.123953745,0.06094702,-0.04985136,0.008371001999999999,0.02412003,-0.12476029,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight>,9.5,0.049,0.34,0.9940000000000001,6.3,14.0,3.3,1.6,0.49,132.0,0.3
6,5.98,9,0.2100485,-0.0051334873,-0.005284634,-0.017168151,-0.047938198,0.06765543,-0.05210827,-0.081267916,-0.03788039,0.028158232999999998,0.03989166,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight>,11.0,0.044000000000000004,0.43,0.9938,8.1,28.0,3.22,1.5,0.45,129.0,0.22
5,5.55,10,0.35642764,0.06813219,0.018387506,0.017771764,-0.12083578,-0.45207787,-0.06393062,-0.10119224,0.027763482000000003,-0.058754165,-0.024534415,<neg_highlight>Free Sulfur Dioxide</neg_highlight> <pos_highlight>Alcohol</pos_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Chlorides</pos_highlight> <neg_highlight>Ph</neg_highlight>,12.0,0.033,0.41,0.9908,8.1,11.0,2.99,1.45,0.56,63.0,0.27
